id;product_weight;created_date;last_modified_date
1;12306.32;2024-10-28T01:25:59;2024-10-28T07:14:36
2;28405.82;2024-10-28T04:38:26;2024-10-27T19:49:15
3;15532.25;2024-10-27T15:42:44;2024-10-28T00:59:28
4;16954.03;2024-10-28T11:31:19;2024-10-28T07:56:49
5;9588.68;2024-10-27T23:15:47;2024-10-28T09:33:12
6;23439.8;2024-10-27T15:36:39;2024-10-27T18:38:18
7;9009.97;2024-10-28T12:52:54;2024-10-28T04:38:47
8;32550.9;2024-10-27T13:35:04;2024-10-28T03:05:27
9;4885.98;2024-10-27T15:34:28;2024-10-28T12:48:18
10;6864.81;2024-10-28T12:08:26;2024-10-28T07:19:44
