id;name;photo;calories;protein;fats;carbohydrates;created_date;last_modified_date
1;lashes;gah zowie unless;20349.7;22005.57;1032.4;18332.75;2024-10-28T10:19:03;2024-10-28T12:56:02
2;by;accidentally up;18153.89;18116.84;7295.5;23987.55;2024-10-28T08:24:36;2024-10-27T22:08:06
3;treasure grandson gosh;table dark;27731.86;14377.85;15381.69;28418.61;2024-10-27T16:48:35;2024-10-28T08:20:50
4;daintily;progress exploration;9645.14;17143.68;16430.9;2595.82;2024-10-27T15:08:32;2024-10-28T11:36:10
5;however;round;21107.86;4705.99;22900.3;1442.53;2024-10-27T13:20:28;2024-10-27T14:22:26
6;clonk than pick;supposing behind incomparable;29330.75;25001.42;21645.59;15194.85;2024-10-27T20:53:56;2024-10-28T01:57:06
7;settle annually drat;quarrelsome anenst inhibit;11634;30860.82;27351.75;8114.91;2024-10-28T05:32:05;2024-10-28T12:31:16
8;meal sate hammock;the eminent;25345.25;18298.35;12202.93;20813.83;2024-10-27T17:38:01;2024-10-28T07:40:37
9;orange convince integer;beyond which;24882.59;32019.71;30121.71;24827.04;2024-10-27T19:38:16;2024-10-28T00:17:40
10;pronoun tattered;including ack beyond;15648.11;29955.33;15108.97;8800.16;2024-10-28T11:52:16;2024-10-28T08:23:15
